Month Year,January2021,February2021,March2021,April2021,May2021,June2021,July2021,August2021,September2021,October2021,November2021,December2021
<1,2511,1076,623,545,377,332,1266,3584,2839,1169,668,2404
1-9,25444,11722,5989,5171,3437,2828,12497,35547,35539,12851,7064,15718
10-19,58788,26756,13792,12473,7665,5718,26993,59827,64296,17882,9183,29270
20-29,82000,32731,17575,15473,9859,7358,37359,67007,46116,17578,11002,56999
30-39,74453,30476,15374,12787,8817,6916,34247,64866,51146,20451,12020,49655
40-49,69558,28500,13733,10912,7026,5634,28994,50900,41288,16616,9705,36379
50-59,61037,24876,11874,8321,5285,4297,22619,37544,29154,12940,7949,26136
60-69,42413,17335,7582,4904,3232,2783,13958,25105,20351,9606,5653,15951
70-79,23014,9206,3634,2194,1590,1403,7112,12851,10424,5081,3224,7259
80+,12416,5169,1958,1125,798,733,3938,5724,4940,2442,1843,3252