Date,Asian,Black,Hispanic,Other,White,Unknown
January 2022,43602,98150,358093,88038,300033,392767
February 2022,8002,14403,65785,13764,63614,77726
March 2022,2914,6818,21109,4561,18427,19525
April 2022,2451,3665,8880,1996,13113,9929
May 2022,6510,8533,19842,3704,27061,24414
June 2022,11492,20958,46178,8274,50628,52012
July 2022,11615,31008,69218,10893,69427,75447
August 2022,8697,22255,55685,8650,54430,53773
September 2022,3915,10286,25629,4432,27226,23360
October 2022,1601,3389,8185,1986,11353,8317
November 2022,1581,4444,12207,2028,14132,10857
December 2022,2867,9622,23256,4072,27844,19497