County,Confirmed Cases,Fatalities
Anderson,90,6
Andrews,60,2
Angelina,149,8
Aransas,113,1
Archer,91,1
Armstrong,7,0
Atascosa,265,3
Austin,164,0
Bailey,19,1
Bandera,75,1
Bastrop,641,7
Baylor,8,0
Bee,101,1
Bell,2022,12
Bexar,12879,128
Blanco,61,2
Borden,2,0
Bosque,77,3
Bowie,445,7
Brazoria,2568,21
Brazos,1775,8
Brewster,18,2
Briscoe,23,0
Brooks,50,1
Brown,99,7
Burleson,138,0
Burnet,252,4
Caldwell,406,2
Calhoun,207,1
Callahan,14,4
Cameron,2350,35
Camp,57,3
Carson,19,0
Cass,253,5
Castro,115,1
Chambers,427,0
Cherokee,140,3
Childress,111,1
Clay,99,2
Cochran,15,0
Coke,33,1
Coleman,50,2
Collin,4851,51
Collingsworth,12,1
Colorado,191,0
Comal,631,12
Comanche,106,6
Concho,39,1
Cooke,72,6
Coryell,291,8
Cottle,22,0
Crane,24,1
Crockett,8,1
Crosby,40,0
Culberson,16,0
Dallam,10,2
Dallas,12379,134
Dawson,13,2
Deaf Smith,88,1
Delta,6143,1
Denton,-2051,45
DeWitt,59,8
Dickens,6,0
Dimmit,28,1
Donley,18,0
Duval,54,1
Eastland,100,2
Ector,765,15
Edwards,14,1
El Paso,5575,58
Ellis,895,10
Erath,170,5
Falls,78,4
Fannin,76,0
Fayette,98,3
Fisher,20,1
Floyd,54,0
Foard,6,1
Fort Bend,5592,36
Franklin,35,0
Freestone,54,2
Frio,84,0
Gaines,52,1
Galveston,2881,19
Garza,12,1
Gillespie,105,3
Glasscock,4,0
Goliad,35,0
Gonzales,79,1
Gray,73,2
Grayson,408,16
Gregg,195,8
Grimes,242,4
Guadalupe,592,11
Hale,193,1
Hall,41,0
Hamilton,28,0
Hansford,22,3
Hardeman,22,2
Hardin,181,6
Harris,25913,225
Harrison,76,3
Hartley,4,0
Haskell,38,1
Hays,1593,12
Hemphill,76,2
Henderson,276,7
Hidalgo,4586,56
Hill,188,4
Hockley,273,1
Hood,202,11
Hopkins,179,4
Houston,50,4
Howard,125,5
Hudspeth,21,0
Hunt,244,5
Hutchinson,147,3
Irion,12,0
Jack,24,1
Jackson,104,3
Jasper,199,2
Jeff Davis,4,0
Jefferson,1685,9
Jim Hogg,8,1
Jim Wells,167,1
Johnson,1203,22
Jones,44,0
Karnes,13,0
Kaufman,838,10
Kendall,141,4
Kenedy,2,0
Kent,2,0
Kerr,157,6
Kimble,17,1
King,1,0
Kinney,8,1
Kleberg,120,2
Knox,23,0
La Salle,9,0
Lamar,159,7
Lamb,163,1
Lampasas,128,4
Lavaca,65,1
Lee,77,2
Leon,70,0
Liberty,468,7
Limestone,133,2
Lipscomb,6,0
Live Oak,28,1
Llano,106,2
Loving,8,0
Lubbock,2357,22
Lynn,23,0
Madison,69,0
Marion,21,1
Martin,35,0
Mason,3,0
Matagorda,215,0
Maverick,290,4
McCulloch,77,2
McLennan,1291,25
McMullen,7,1
Medina,135,1
Menard,14,1
Midland,1336,8
Milam,109,2
Mills,11,3
Mitchell,46,1
Montague,126,3
Montgomery,2646,40
Moore,71,1
Morris,49,1
Motley,9,0
Nacogdoches,408,9
Navarro,92,1
Newton,42,1
Nolan,77,4
Nueces,1893,26
Ochiltree,37,1
Oldham,6,0
Orange,162,5
Palo Pinto,148,1
Panola,113,5
Parker,795,13
Parmer,20,0
Pecos,203,0
Polk,237,2
Potter,723,12
Presidio,9,1
Rains,25,2
Randall,527,9
Reagan,6,0
Real,25,0
Red River,28,4
Reeves,204,1
Refugio,49,3
Roberts,3,0
Robertson,109,0
Rockwall,370,11
Runnels,20,3
Rusk,179,4
Sabine,26,2
San Augustine,12,1
San Jacinto,189,2
San Patricio,322,7
San Saba,15,1
Schleicher,5,0
Scurry,439,1
Shackelford,1,0
Shelby,167,3
Sherman,4,0
Smith,497,23
Somervell,57,0
Starr,467,9
Stephens,11,2
Sterling,4,0
Stonewall,3,0
Sutton,9,0
Swisher,39,0
Tarrant,13338,134
Taylor,211,19
Terrell,4,0
Terry,29,3
Throckmorton,2,0
Titus,168,3
Tom Green,746,12
Travis,8975,40
Trinity,62,4
Tyler,83,1
Upshur,62,3
Upton,3,1
Uvalde,25,4
Val Verde,133,4
Van Zandt,142,5
Victoria,570,6
Walker,491,1
Waller,235,4
Ward,70,3
Washington,257,2
Webb,1871,25
Wharton,172,4
Wheeler,28,-1
Wichita,1765,39
Wilbarger,117,4
Willacy,184,2
Williamson,3879,29
Wilson,104,1
Winkler,10,1
Wise,437,4
Wood,102,7
Yoakum,108,2
Young,118,5
Zapata,34,1
Zavala,25,0
Incomplete Address,3977,3
Total,164756,1877