Date,Asian,Black,Hispanic,Other,White,Unknown
January 2021,10747,28337,130358,1388,94769,186260
February 2021,4745,13557,54243,567,40249,74568
March 2021,2405,7497,26941,328,21605,33406
April 2021,1453,7132,22211,300,15794,27047
May 2021,738,4456,13802,151,9908,19051
June 2021,523,3738,10552,130,7651,15749
July 2021,2021,15200,39508,430,36445,96242
August 2021,5319,33085,93045,1098,88392,142107
September 2021,5619,27322,69580,1062,80259,122270
October 2021,2733,9969,27652,653,33707,41906
November 2021,1815,4859,16799,2540,21054,21271
December 2021,9440,34630,56684,15233,60081,66991