COVID-19 Cumulative Cases and Fatalities by County 01/01/2021 to 12/31/2021,,
County,Confirmed Cases,Fatalities
Anderson,3196,138
Andrews,610,34
Angelina,3952,263
Aransas,1599,43
Archer,677,18
Armstrong,100,2
Atascosa,4398,126
Austin,2146,43
Bailey,216,14
Bandera,1275,50
Bastrop,6876,143
Baylor,110,17
Bee,2576,87
Bell,26568,555
Bexar,182756,3402
Blanco,701,19
Borden,17,2
Bosque,976,39
Bowie,4390,220
Brazoria,36372,620
Brazos,26438,215
Brewster,204,13
Briscoe,123,4
Brooks,361,19
Brown,2484,106
Burleson,1499,41
Burnet,4213,106
Caldwell,4658,106
Calhoun,1614,28
Callahan,568,38
Cameron,23887,743
Camp,751,41
Carson,266,18
Cass,2026,107
Castro,494,19
Chambers,4604,48
Cherokee,1619,138
Childress,762,12
Clay,730,15
Cochran,213,10
Coke,126,8
Coleman,431,42
Collin,68810,789
Collingsworth,178,5
Colorado,1265,40
Comal,12072,322
Comanche,1002,32
Concho,275,7
Cooke,2221,75
Coryell,6483,132
Cottle,90,3
Crane,190,10
Crockett,56,7
Crosby,330,20
Culberson,128,8
Dallam,440,11
Dallas,197226,3394
Dawson,354,30
Deaf Smith,873,40
Delta,318,19
Denton,107987,692
DeWitt,1443,38
Dickens,67,8
Dimmit,2687,34
Donley,169,11
Duval,862,31
Eastland,1013,73
Ector,8847,312
Edwards,68,7
El Paso,50189,1120
Ellis,16633,305
Erath,2365,73
Falls,1074,32
Fannin,1904,93
Fayette,1338,54
Fisher,124,10
Floyd,405,15
Foard,96,5
Fort Bend,72153,586
Franklin,611,23
Freestone,920,47
Frio,3064,57
Gaines,244,38
Galveston,40631,499
Garza,163,8
Gillespie,1189,60
Glasscock,18,2
Goliad,464,19
Gonzales,1265,65
Gray,1146,59
Grayson,8491,342
Gregg,4346,380
Grimes,2592,61
Guadalupe,12200,231
Hale,1777,79
Hall,265,8
Hamilton,751,11
Hansford,171,10
Hardeman,191,4
Hardin,3418,160
Harris,398729,6092
Harrison,3043,121
Hartley,312,1
Haskell,146,20
Hays,24519,252
Hemphill,360,1
Henderson,4307,267
Hidalgo,43117,1190
Hill,1932,136
Hockley,1760,56
Hood,3634,137
Hopkins,2191,69
Houston,762,65
Howard,996,65
Hudspeth,315,5
Hunt,5859,225
Hutchinson,1757,60
Irion,48,2
Jack,581,10
Jackson,1291,30
Jasper,2069,119
Jeff Davis,70,4
Jefferson,18378,467
Jim Hogg,259,8
Jim Wells,3554,117
Johnson,14877,406
Jones,1068,45
Karnes,2594,32
Kaufman,11618,314
Kendall,2277,64
Kenedy,19,0
Kent,27,2
Kerr,1916,92
Kimble,143,5
King,18,0
Kinney,264,7
Kleberg,1796,71
Knox,96,9
La Salle,524,21
Lamar,1255,120
Lamb,737,28
Lampasas,2093,55
Lavaca,876,43
Lee,940,23
Leon,953,48
Liberty,7280,260
Limestone,1275,81
Lipscomb,187,5
Live Oak,520,21
Llano,1298,63
Loving,21,0
Lubbock,17250,495
Lynn,288,15
Madison,793,28
Marion,512,35
Martin,216,7
Mason,145,6
Matagorda,3656,96
Maverick,7565,198
McCulloch,224,28
McLennan,16255,463
McMullen,50,6
Medina,2958,115
Menard,59,8
Midland,6663,227
Milam,1548,72
Mills,468,15
Mitchell,506,27
Montague,1547,58
Montgomery,50725,850
Moore,574,34
Morris,695,45
Motley,37,4
Nacogdoches,3499,135
Navarro,2450,126
Newton,450,35
Nolan,577,54
Nueces,21371,621
Ochiltree,637,21
Oldham,95,3
Orange,4066,229
Palo Pinto,2638,83
Panola,998,66
Parker,12616,259
Parmer,268,9
Pecos,732,31
Polk,2388,153
Potter,7027,253
Presidio,187,13
Rains,529,30
Randall,7193,213
Reagan,71,4
Real,195,9
Red River,447,29
Reeves,1051,30
Refugio,522,14
Roberts,57,0
Robertson,1387,44
Rockwall,9048,166
Runnels,400,37
Rusk,2911,130
Sabine,412,60
San Augustine,320,12
San Jacinto,1838,63
San Patricio,4267,199
San Saba,351,14
Schleicher,98,3
Scurry,1438,56
Shackelford,118,8
Shelby,1110,73
Sherman,61,5
Smith,11500,541
Somervell,477,17
Starr,4988,128
Stephens,454,22
Sterling,42,3
Stonewall,22,3
Sutton,93,5
Swisher,664,13
Tarrant,185275,2827
Taylor,5179,399
Terrell,32,1
Terry,215,28
Throckmorton,24,4
Titus,1875,56
Tom Green,3061,205
Travis,86970,907
Trinity,933,52
Tyler,1081,59
Upshur,1573,123
Upton,61,8
Uvalde,4115,75
Val Verde,5446,96
Van Zandt,2978,167
Victoria,7431,232
Walker,7151,96
Waller,3886,65
Ward,952,24
Washington,3427,71
Webb,25117,412
Wharton,3535,113
Wheeler,343,6
Wichita,10358,306
Wilbarger,947,36
Willacy,2959,48
Williamson,50674,510
Wilson,3525,106
Winkler,690,16
Wise,6233,143
Wood,2107,165
Yoakum,70,14
Young,1368,42
Zapata,667,23
Zavala,1264,27
Incomplete Address,10664,12
Total,2244878,43980