Month Year,<1,1-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,Unknown,Total
January2021,2511,25444,58788,82000,74453,69558,61037,42413,23014,12416,225,451859
February2021,1076,11722,26756,32731,30476,28500,24876,17335,9206,5169,82,187929
March2021,623,5989,13792,17575,15374,13733,11874,7582,3634,1958,48,92182
April2021,545,5171,12473,15473,12787,10912,8321,4904,2194,1125,32,73937
May2021,377,3437,7665,9859,8817,7026,5285,3232,1590,798,20,48106
June2021,332,2828,5718,7358,6916,5634,4297,2783,1403,733,341,38343
July2021,1266,12497,26993,37359,34247,28994,22619,13958,7112,3938,863,189846
August2021,3584,35547,59827,67007,64866,50900,37544,25105,12851,5724,91,363046
September2021,2839,35539,64296,46116,51146,41288,29154,20351,10424,4940,19,306112
October2021,1169,12851,17882,17578,20451,16616,12940,9606,5081,2442,4,116620
November2021,668,7064,9183,11002,12020,9705,7949,5653,3224,1843,27,68338
December2021,2404,15718,29270,56999,49655,36379,26136,15951,7259,3252,36,243059
Unknown Date 2021,649,3593,6963,15257,12596,9935,7777,5043,2443,1190,55,65501
Total 2021,18043,177400,339606,416314,393804,329180,259809,173916,89435,45528,1843,2244878