Month Year,Asian,Black,Hispanic,Other,White,Unknown,Total
January2021,10747,28337,130358,1388,94769,186260,451859
February2021,4745,13557,54243,567,40249,74568,187929
March2021,2405,7497,26941,328,21605,33406,92182
April2021,1453,7132,22211,300,15794,27047,73937
May2021,738,4456,13802,151,9908,19051,48106
June2021,523,3738,10552,130,7651,15749,38343
July2021,2021,15200,39508,430,36445,96242,189846
August2021,5319,33085,93045,1098,88392,142107,363046
September2021,5619,27322,69580,1062,80259,122270,306112
October2021,2733,9969,27652,653,33707,41906,116620
November2021,1815,4859,16799,2540,21054,21271,68338
December2021,9440,34630,56684,15233,60081,66991,243059
Unknown Date 2021,2170,7914,17545,3866,16704,17302,65501
Total 2021,49728,197696,578920,27746,526618,864170,2244878