Month Year,Male,Female,Unknown,Total
March 2020,1465,1505,21,2991
April 2020,9816,9911,171,19898
May 2020,14581,14090,642,29313
June 2020,54097,53418,2151,109666
July 2020,115303,123576,5043,243922
August 2020,107124,116265,4789,228178
September 2020,56198,61121,2692,120011
October 2020,59563,69098,4070,132731
November 2020,114094,129028,10644,253766
December 2020,198848,225857,7735,432440
Unknown Date 2020,21533,25633,417,47583
Total 2020,752622,829502,38375,1620499