Month Year,Male,Female,Unknown,Total
January2021,207682,232673,11504,451859
February2021,86195,94395,7339,187929
March2021,43407,46245,2530,92182
April2021,34869,37212,1856,73937
May2021,22907,24099,1100,48106
June2021,17305,18211,2827,38343
July2021,66056,70820,52970,189846
August2021,171676,184509,6861,363046
September2021,144326,154660,7126,306112
October2021,55198,59147,2275,116620
November2021,32237,34747,1354,68338
December2021,106144,133157,3758,243059
Unknown Date 2021,28034,36119,1348,65501
Total 2021,1016036,1125994,102848,2244878