Month Year,<1,1-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,Total
January 2022,5,1,4,47,128,286,641,1159,1468,1918,5657
February 2022,4,3,2,25,67,152,427,868,1135,1381,4064
March 2022,0,0,3,6,20,51,96,224,279,275,954
April 2022,0,0,4,1,7,16,31,52,74,74,259
May 2022,0,1,0,0,7,9,19,40,32,72,180
June 2022,0,4,0,2,6,14,28,55,97,146,352
July 2022,0,2,1,3,11,16,55,136,210,367,801
August 2022,3,1,2,4,8,22,42,101,226,399,808
September 2022,0,1,0,2,11,13,34,80,115,241,497
October 2022,0,0,0,4,5,13,21,33,72,141,289
November 2022,0,1,0,1,6,4,14,24,62,141,253
December 2022,1,1,0,6,2,15,31,79,161,308,604
Total 2022,13,15,16,101,278,611,1439,2851,3931,5463,14718