Month Year,Female,Male,Unknown,Total
March 2020,45,56,0,101
April 2020,362,532,0,894
May 2020,368,556,0,924
June 2020,506,847,0,1353
July 2020,2732,3943,0,6675
August 2020,2110,2726,0,4836
September 2020,969,1164,0,2133
October 2020,1112,1451,1,2564
November 2020,1977,2822,0,4799
December 2020,3011,4025,0,7036
Total 2020,13192,18122,1,31315